Dataset,Model,Pooling,K,Accuracy,F1_Micro,F1_Macro
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,cls,1,0.9557,0.9557,0.9557
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,cls,3,0.9678,0.9678,0.9678
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,cls,5,0.9697,0.9697,0.9697
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,cls,7,0.9714,0.9714,0.9714
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,cls,9,0.9716,0.9716,0.9716
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,cls,11,0.9708,0.9708,0.9708
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,cls,13,0.9720,0.9720,0.9720
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,cls,15,0.9707,0.9707,0.9706
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,mean,1,0.9595,0.9595,0.9595
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,mean,3,0.9710,0.9710,0.9710
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,mean,5,0.9733,0.9733,0.9733
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,mean,7,0.9728,0.9728,0.9727
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,mean,9,0.9726,0.9726,0.9725
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,mean,11,0.9720,0.9720,0.9720
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,mean,13,0.9716,0.9716,0.9716
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,mean,15,0.9716,0.9716,0.9716
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,max,1,0.9599,0.9599,0.9599
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,max,3,0.9705,0.9705,0.9705
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,max,5,0.9724,0.9724,0.9724
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,max,7,0.9726,0.9726,0.9726
