Dataset,Model,Datafraction,Score,Filename
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.01,94.4,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.01x_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.01,95.22,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.01x_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.01,69.01,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.01x_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.05,96.05,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.05x_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.05,95.24,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.05x_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.05,92.77,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.05x_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.20,95.86,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.20x_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.20,95.74,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.20x_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.20,95.9,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.20x_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.50,95.76,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.50x_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.50,95.59,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.50x_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,0.50,95.67,mb-atmospheric_dust_cls_rdr_dinov1_b8_frac0.50x_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,full,96.09,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,full,95.82,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,full,95.74,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.01_concat_3.log
