Dataset,Model,Feature Structure,LR,Score,Metric,Filename
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat2,0.0001,97.45,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat3,0.0001,96.93,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,original,0.0001,96.8,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat2,0.001,96.57,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat3,0.001,96.05,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,original,0.001,96.22,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat2,1e-05,95.99,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat3,1e-05,96.01,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,original,1e-05,95.99,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat2,0.0001,97.16,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat3,0.0001,96.57,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,original,0.0001,96.85,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat2,0.001,93.98,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat3,0.001,93.19,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,original,0.001,94.51,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat2,1e-05,97.76,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat3,1e-05,98.33,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,original,1e-05,97.01,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat2,0.0001,97.55,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat3,0.0001,97.87,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,original,0.0001,97.55,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.0001_original.log
