Dataset,Model,Feature Structure,LR,Score

mb-atmospheric_dust_cls_rdr,dinov1_b8,concat2,0.0001,97.45
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat3,1e-05,98.33
mb-atmospheric_dust_cls_rdr,dinov3_lvd,original,1e-05,97.56
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat3,0.0001,97.87
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat3,0.0001,98.2
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat2,1e-05,97.51
mb-atmospheric_dust_cls_rdr,mars_mae,original,1e-05,96.3
mb-atmospheric_dust_cls_rdr,openclip,concat3,0.0001,97.16
mb-atmospheric_dust_cls_rdr,satmae,original,1e-05,96.8
mb-atmospheric_dust_cls_rdr,siglip2,concat2,0.0001,96.97
mb-atmospheric_dust_cls_rdr,swin_v2,concat3,1e-05,97.24
mb-atmospheric_dust_cls_rdr,vit_l,original,0.0001,96.28

mb-change_cls_ctx,dinov1_b8,concat2,0.001,90
mb-change_cls_ctx,dinov2_l14,concat2,0.0001,90
mb-change_cls_ctx,dinov3_lvd,concat2,0.001,90
mb-change_cls_ctx,dinov3_lvd_1cha,concat3,1e-05,90
mb-change_cls_ctx,dinov3_sat,original,1e-05,85
mb-change_cls_ctx,dinov3_sat_1cha,original,1e-05,85
mb-change_cls_ctx,mars_mae,concat2,1e-05,85
mb-change_cls_ctx,openclip,concat2,1e-05,85
mb-change_cls_ctx,satmae,concat2,1e-05,90
mb-change_cls_ctx,siglip2,concat2,0.0001,80
mb-change_cls_ctx,swin_v2,concat2,1e-05,85
mb-change_cls_ctx,vit_l,original,0.001,90

mb-change_cls_hirise,dinov1_b8,original,1e-05,98.28
mb-change_cls_hirise,dinov2_l14,concat2,1e-05,98.66
mb-change_cls_hirise,dinov3_lvd,concat2,0.0001,98.81
mb-change_cls_hirise,dinov3_lvd_1cha,original,0.0001,98.66
mb-change_cls_hirise,dinov3_sat,original,0.0001,98.51
mb-change_cls_hirise,dinov3_sat_1cha,concat2,0.0001,98.28
mb-change_cls_hirise,mars_mae,original,1e-05,97.09
mb-change_cls_hirise,openclip,concat2,0.0001,97.61
mb-change_cls_hirise,satmae,original,1e-05,97.09
mb-change_cls_hirise,siglip2,original,1e-05,97.84
mb-change_cls_hirise,swin_v2,original,0.0001,97.31
mb-change_cls_hirise,vit_l,original,0.0001,98.13

mb-domars16k,dinov1_b8,concat2,0.0001,93.8
mb-domars16k,dinov2_l14,original,1e-05,94.18
mb-domars16k,dinov3_lvd,concat2,0.001,93.8
mb-domars16k,dinov3_lvd_1cha,concat3,0.0001,94.42
mb-domars16k,dinov3_sat,concat3,0.001,94.18
mb-domars16k,dinov3_sat_1cha,concat3,0.001,93.99
mb-domars16k,mars_mae,concat3,0.0001,93.74
mb-domars16k,openclip,concat2,0.0001,93.93
mb-domars16k,satmae,original,0.0001,91.76
mb-domars16k,siglip2,concat3,1e-05,93.31
mb-domars16k,swin_v2,concat2,0.0001,92.87
mb-domars16k,vit_l,concat2,0.0001,93.74

mb-frost_cls,dinov1_b8,concat3,0.0001,99.44
mb-frost_cls,dinov2_l14,original,0.0001,99.49
mb-frost_cls,dinov3_lvd,concat2,0.0001,99.43
mb-frost_cls,dinov3_lvd_1cha,original,0.0001,99.67
mb-frost_cls,dinov3_sat,concat3,0.001,99.7
mb-frost_cls,dinov3_sat_1cha,original,1e-05,99.68
mb-frost_cls,mars_mae,original,0.0001,98.87
mb-frost_cls,openclip,original,0.0001,98.75
mb-frost_cls,satmae,original,0.0001,97
mb-frost_cls,siglip2,concat3,1e-05,99.4
mb-frost_cls,swin_v2,concat3,0.0001,99.05
mb-frost_cls,vit_l,concat3,0.0001,97.49

mb-landmark_cls,dinov1_b8,concat2,1e-05,93.81
mb-landmark_cls,dinov2_l14,concat3,1e-05,94.92
mb-landmark_cls,dinov3_lvd,concat3,0.0001,94.76
mb-landmark_cls,dinov3_lvd_1cha,concat3,1e-05,94.48
mb-landmark_cls,dinov3_sat,original,0.0001,93.59
mb-landmark_cls,dinov3_sat_1cha,concat2,0.001,94.42
mb-landmark_cls,mars_mae,original,0.0001,91.8
mb-landmark_cls,openclip,concat3,1e-05,94.26
mb-landmark_cls,satmae,concat3,0.0001,92.36
mb-landmark_cls,siglip2,concat2,1e-05,93.87
mb-landmark_cls,swin_v2,concat3,0.001,93.2
mb-landmark_cls,vit_l,original,0.0001,92.92
