Dataset,Model,Feature Structure,LR,Score

mb-atmospheric_dust_cls_rdr,dinov1_b8,concat3,0.0001,96.09
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat2,0.0001,98.77
mb-atmospheric_dust_cls_rdr,dinov3_lvd,original,0.001,97.83
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat3,0.0001,98.18
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat3,0.0001,98.29
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,original,0.001,97.39
mb-atmospheric_dust_cls_rdr,mars_mae,concat2,0.01,95.15
mb-atmospheric_dust_cls_rdr,openclip,original,0.01,97.81
mb-atmospheric_dust_cls_rdr,satmae,concat2,0.001,96.34
mb-atmospheric_dust_cls_rdr,scale_mae,concat3,0.01,92.44
mb-atmospheric_dust_cls_rdr,siglip2,concat2,0.001,97.51
mb-atmospheric_dust_cls_rdr,swin_v2,concat3,0.001,96.8
mb-atmospheric_dust_cls_rdr,vit_l,concat2,0.0001,96.26

mb-change_cls_ctx,dinov1_b8,concat3,0.0001,80
mb-change_cls_ctx,dinov2_l14,concat3,0.001,90
mb-change_cls_ctx,dinov3_lvd,concat3,0.0001,85
mb-change_cls_ctx,dinov3_lvd_1cha,original,0.0001,90
mb-change_cls_ctx,dinov3_sat,concat2,0.0001,80
mb-change_cls_ctx,dinov3_sat_1cha,concat2,0.0001,80
mb-change_cls_ctx,mars_mae,concat3,0.01,90
mb-change_cls_ctx,openclip,concat2,0.0001,80
mb-change_cls_ctx,satmae,concat2,0.0001,80
mb-change_cls_ctx,scale_mae,concat2,0.0001,80
mb-change_cls_ctx,siglip2,concat2,0.0001,80
mb-change_cls_ctx,swin_v2,concat2,0.0001,80
mb-change_cls_ctx,vit_l,concat2,0.0001,80

mb-change_cls_hirise,dinov1_b8,concat3,0.001,97.61
mb-change_cls_hirise,dinov2_l14,original,0.001,97.61
mb-change_cls_hirise,dinov3_lvd,concat3,0.01,97.91
mb-change_cls_hirise,dinov3_lvd_1cha,concat3,0.01,97.46
mb-change_cls_hirise,dinov3_sat,concat3,0.01,97.61
mb-change_cls_hirise,dinov3_sat_1cha,concat2,0.01,97.24
mb-change_cls_hirise,mars_mae,concat3,0.01,96.12
mb-change_cls_hirise,openclip,concat3,0.001,96.34
mb-change_cls_hirise,satmae,concat2,0.001,95.75
mb-change_cls_hirise,scale_mae,concat2,0.01,95
mb-change_cls_hirise,siglip2,concat2,0.01,96.57
mb-change_cls_hirise,swin_v2,concat2,0.01,96.34
mb-change_cls_hirise,vit_l,concat2,0.01,96.57

mb-domars16k,dinov1_b8,concat2,0.001,90.02
mb-domars16k,dinov2_l14,concat3,0.001,88.79
mb-domars16k,dinov3_lvd,concat2,0.001,88.35
mb-domars16k,dinov3_lvd_1cha,concat3,0.001,88.79
mb-domars16k,dinov3_sat,concat3,0.001,89.53
mb-domars16k,dinov3_sat_1cha,concat3,0.01,88.79
mb-domars16k,mars_mae,concat2,0.01,88.17
mb-domars16k,openclip,concat2,0.01,87.48
mb-domars16k,satmae,concat2,0.01,84.63
mb-domars16k,scale_mae,original,0.01,71.62
mb-domars16k,siglip2,concat2,0.01,85.5
mb-domars16k,swin_v2,original,0.01,84.7
mb-domars16k,vit_l,concat2,0.001,88.17

mb-frost_cls,dinov1_b8,concat3,0.0001,97.29
mb-frost_cls,dinov2_l14,concat2,0.01,96.82
mb-frost_cls,dinov3_lvd,original,0.01,97.81
mb-frost_cls,dinov3_lvd_1cha,concat3,0.01,97.58
mb-frost_cls,dinov3_sat,concat3,0.001,99.62
mb-frost_cls,dinov3_sat_1cha,concat2,0.0001,98.86
mb-frost_cls,mars_mae,original,0.01,96.83
mb-frost_cls,openclip,concat2,0.0001,97.41
mb-frost_cls,satmae,original,0.01,96.08
mb-frost_cls,scale_mae,concat3,0.001,96.71
mb-frost_cls,siglip2,original,0.01,96.78
mb-frost_cls,swin_v2,original,0.01,96.47
mb-frost_cls,vit_l,concat2,0.01,96.03

mb-landmark_cls,dinov1_b8,concat3,0.001,93.2
mb-landmark_cls,dinov2_l14,concat2,0.001,93.64
mb-landmark_cls,dinov3_lvd,concat3,0.001,94.42
mb-landmark_cls,dinov3_lvd_1cha,concat2,0.01,94.26
mb-landmark_cls,dinov3_sat,concat2,0.01,92.41
mb-landmark_cls,dinov3_sat_1cha,original,0.01,91.58
mb-landmark_cls,mars_mae,concat3,0.001,90.85
mb-landmark_cls,openclip,concat2,0.001,93.14
mb-landmark_cls,satmae,concat2,0.01,92.19
mb-landmark_cls,scale_mae,concat3,0.01,86.78
mb-landmark_cls,siglip2,concat3,0.01,93.25
mb-landmark_cls,swin_v2,original,0.01,91.63
mb-landmark_cls,vit_l,concat3,0.001,92.19
